batter_name,mlbam_id,matched_name,match_score,team,position,bats,throws,height,weight,birth_date,age,bio,headshot_url
Eduardo Escobar,500871,Eduardo Escobar,1.200,Tigres de Aragua,Third Base,S,R,"5' 10""",193,1989-01-05,36,Eduardo Escobar • Third Base • Bats Switch / Throws Right • Tigres de Aragua,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/500871/headshot/silo/current"
Randal Grichuk,545341,Randal Grichuk,1.200,Kansas City Royals,Outfielder,R,R,"6' 0""",216,1991-08-13,34,Randal Grichuk • Outfielder • Bats Right / Throws Right • Kansas City Royals,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/545341/headshot/silo/current"
Christian Walker,572233,Christian Walker,1.200,Houston Astros,First Base,R,R,"5' 11""",208,1991-03-28,34,Christian Walker • First Base • Bats Right / Throws Right • Houston Astros,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/572233/headshot/silo/current"
Grayson Greiner,606988,Grayson Greiner,1.200,Albuquerque Isotopes,Catcher,R,R,"6' 6""",238,1992-10-11,33,Grayson Greiner • Catcher • Bats Right / Throws Right • Albuquerque Isotopes,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/606988/headshot/silo/current"
Taylor Widener,642203,Taylor Widener,1.200,Gwinnett Stripers,Pitcher,L,R,"6' 0""",203,1994-10-24,31,Taylor Widener • Pitcher • Bats Left / Throws Right • Gwinnett Stripers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/642203/headshot/silo/current"
Seth Frankoff,571676,Seth Frankoff,1.200,High Point Rockers,Pitcher,R,R,"6' 5""",206,1988-08-27,37,Seth Frankoff • Pitcher • Bats Right / Throws Right • High Point Rockers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/571676/headshot/silo/current"
Buddy Kennedy,671083,Buddy Kennedy,1.200,Sacramento River Cats,First Base,R,R,"5' 10""",190,1998-10-05,27,Buddy Kennedy • First Base • Bats Right / Throws Right • Sacramento River Cats,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/671083/headshot/silo/current"
Evan Longoria,446334,Evan Longoria,1.200,Tampa Bay Rays,Third Base,R,R,"6' 1""",213,1985-10-07,40,Evan Longoria • Third Base • Bats Right / Throws Right • Tampa Bay Rays,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/446334/headshot/silo/current"
Jorge Barrosa,678489,Jorge Barrosa,1.200,Arizona Diamondbacks,Outfielder,S,L,"5' 6""",165,2001-02-17,24,Jorge Barrosa • Outfielder • Bats Switch / Throws Left • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/678489/headshot/silo/current"
Seth Beer,666179,Seth Beer,1.200,Reading Fightin Phils,First Base,L,R,"6' 2""",225,1996-09-18,29,Seth Beer • First Base • Bats Left / Throws Right • Reading Fightin Phils,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/666179/headshot/silo/current"
Luis Guillorme,641645,Luis Guillorme,1.200,Tiburones de La Guaira,Third Base,L,R,"5' 10""",190,1994-09-27,31,Luis Guillorme • Third Base • Bats Left / Throws Right • Tiburones de La Guaira,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/641645/headshot/silo/current"
Jake McCarthy,664983,Jake McCarthy,1.200,Arizona Diamondbacks,Outfielder,L,L,"6' 1""",215,1997-07-30,28,Jake McCarthy • Outfielder • Bats Left / Throws Left • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/664983/headshot/silo/current"
Jordan Lawlar,691783,Jordan Lawlar,1.200,Arizona Diamondbacks,Shortstop,R,R,"6' 0""",190,2002-07-17,23,Jordan Lawlar • Shortstop • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/691783/headshot/silo/current"
Madison Bumgarner,518516,Madison Bumgarner,1.200,Arizona Diamondbacks,Pitcher,R,L,"6' 4""",240,1989-08-01,36,Madison Bumgarner • Pitcher • Bats Right / Throws Left • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/518516/headshot/silo/current"
Josh VanMeter,642165,Josh VanMeter,1.200,Scranton/Wilkes-Barre RailRiders,Second Base,L,R,"5' 10""",198,1995-03-10,30,Josh VanMeter • Second Base • Bats Left / Throws Right • Scranton/Wilkes-Barre RailRiders,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/642165/headshot/silo/current"
Kyle Lewis,641786,Kyle Lewis,1.200,Arizona Diamondbacks,Outfield,R,R,"6' 4""",222,1995-07-13,30,Kyle Lewis • Outfield • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/641786/headshot/silo/current"
Blaze Alexander,677942,Blaze Alexander,1.200,Arizona Diamondbacks,Shortstop,R,R,"6' 0""",160,1999-06-11,26,Blaze Alexander • Shortstop • Bats Right / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/677942/headshot/silo/current"
Josh Reddick,502210,Josh Reddick,1.200,Perth Heat,Outfielder,L,R,"6' 2""",197,1987-02-19,38,Josh Reddick • Outfielder • Bats Left / Throws Right • Perth Heat,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/502210/headshot/silo/current"
Seby Zavala,664874,Seby Zavala,1.200,Worcester Red Sox,Catcher,R,R,"5' 11""",205,1993-08-28,32,Seby Zavala • Catcher • Bats Right / Throws Right • Worcester Red Sox,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/664874/headshot/silo/current"
Stone Garrett,656448,Stone Garrett,1.200,Rochester Red Wings,Outfielder,R,R,"6' 1""",228,1995-11-22,30,Stone Garrett • Outfielder • Bats Right / Throws Right • Rochester Red Wings,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/656448/headshot/silo/current"
Jace Peterson,607054,Jace Peterson,1.200,Arizona Diamondbacks,Shortstop,L,R,"6' 0""",215,1990-05-09,35,Jace Peterson • Shortstop • Bats Left / Throws Right • Arizona Diamondbacks,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/607054/headshot/silo/current"
Matt Peacock,676840,Matt Peacock,1.200,Buffalo Bisons,Pitcher,R,R,"6' 1""",185,1994-02-27,31,Matt Peacock • Pitcher • Bats Right / Throws Right • Buffalo Bisons,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/676840/headshot/silo/current"
Matt Davidson,571602,Matt Davidson,1.200,Las Vegas Aviators,Designated Hitter,R,R,"6' 3""",230,1991-03-26,34,Matt Davidson • Designated Hitter • Bats Right / Throws Right • Las Vegas Aviators,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/571602/headshot/silo/current"
Connor Kaiser,663731,Connor Kaiser,1.200,Omaha Storm Chasers,Shortstop,R,R,"6' 3""",195,1996-11-20,29,Connor Kaiser • Shortstop • Bats Right / Throws Right • Omaha Storm Chasers,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/663731/headshot/silo/current"
Diego Castillo,650895,Diego Castillo,1.200,Toros de Tijuana,Pitcher,R,R,"6' 3""",268,1994-01-18,31,Diego Castillo • Pitcher • Bats Right / Throws Right • Toros de Tijuana,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,q_auto:best/v1/people/650895/headshot/silo/current"
